,n_rep,num_qubits,n_gadgets,method,mapping,cx,pre-cx,broken_chains,steiner_nodes,steiner_nodesx,steiner_nodesz,I-index,doubles,q-corr
230,,6,37,pauli_polynomial_dynamic_ordering,"[4, 0, 3, 2, 5, 1]",90,66,25,37,23,16,100,2,40
231,,6,37,pauli_polynomial_dynamic_ordering,"[5, 0, 3, 2, 4, 1]",105,75,27,40,21,24,99,2,38
232,,6,37,pauli_polynomial_dynamic_ordering,"[4, 0, 5, 2, 3, 1]",95,71,24,37,20,21,96,2,42
233,,6,37,pauli_polynomial_dynamic_ordering,"[5, 0, 4, 2, 3, 1]",97,73,28,42,24,22,99,1,38
234,,6,37,pauli_polynomial_dynamic_ordering,"[3, 0, 4, 5, 2, 1]",92,66,23,34,18,16,95,4,42
235,,6,37,pauli_polynomial_dynamic_ordering,"[3, 0, 5, 4, 2, 1]",106,78,23,35,16,19,95,4,42
236,,6,37,pauli_polynomial_dynamic_ordering,"[4, 0, 3, 5, 2, 1]",98,71,23,33,20,17,90,4,45
237,,6,37,pauli_polynomial_dynamic_ordering,"[5, 0, 3, 4, 2, 1]",101,74,24,39,22,21,89,5,43
238,,6,37,pauli_polynomial_dynamic_ordering,"[4, 0, 5, 3, 2, 1]",100,67,24,36,20,21,98,4,41
239,,6,37,pauli_polynomial_dynamic_ordering,"[5, 0, 4, 3, 2, 1]",91,70,25,41,24,22,97,5,39
240,,6,37,pauli_polynomial_dynamic_ordering,"[1, 2, 0, 3, 4, 5]",92,71,22,38,26,15,87,6,44
241,,6,37,pauli_polynomial_dynamic_ordering,"[1, 2, 0, 3, 5, 4]",85,61,22,33,21,16,88,5,46
242,,6,37,pauli_polynomial_dynamic_ordering,"[1, 2, 0, 4, 3, 5]",90,65,22,37,24,15,87,6,44
243,,6,37,pauli_polynomial_dynamic_ordering,"[1, 2, 0, 5, 3, 4]",107,73,19,28,15,16,84,7,48
244,,6,37,pauli_polynomial_dynamic_ordering,"[1, 2, 0, 4, 5, 3]",92,65,22,34,18,16,93,5,43
245,,6,37,pauli_polynomial_dynamic_ordering,"[1, 2, 0, 5, 4, 3]",101,70,19,30,14,16,89,7,45
246,,6,37,pauli_polynomial_dynamic_ordering,"[1, 3, 0, 2, 4, 5]",101,70,25,44,29,15,89,2,43
247,,6,37,pauli_polynomial_dynamic_ordering,"[1, 3, 0, 2, 5, 4]",99,72,22,39,24,16,86,3,47
248,,6,37,pauli_polynomial_dynamic_ordering,"[1, 4, 0, 2, 3, 5]",102,72,26,43,25,22,97,3,39
249,,6,37,pauli_polynomial_dynamic_ordering,"[1, 5, 0, 2, 3, 4]",96,69,23,37,18,18,94,5,43
250,,6,37,pauli_polynomial_dynamic_ordering,"[1, 4, 0, 2, 5, 3]",94,68,23,40,19,23,91,4,44
251,,6,37,pauli_polynomial_dynamic_ordering,"[1, 5, 0, 2, 4, 3]",97,70,23,39,17,18,91,5,44
252,,6,37,pauli_polynomial_dynamic_ordering,"[1, 3, 0, 4, 2, 5]",96,74,25,43,29,14,91,1,42
253,,6,37,pauli_polynomial_dynamic_ordering,"[1, 3, 0, 5, 2, 4]",98,74,21,38,21,15,88,2,46
254,,6,37,pauli_polynomial_dynamic_ordering,"[1, 4, 0, 3, 2, 5]",105,80,26,43,27,21,99,2,38
255,,6,37,pauli_polynomial_dynamic_ordering,"[1, 5, 0, 3, 2, 4]",96,64,25,41,21,17,100,2,40
256,,6,37,pauli_polynomial_dynamic_ordering,"[1, 4, 0, 5, 2, 3]",100,73,24,43,18,26,101,3,39
257,,6,37,pauli_polynomial_dynamic_ordering,"[1, 5, 0, 4, 2, 3]",104,68,27,46,20,21,105,2,37
258,,6,37,pauli_polynomial_dynamic_ordering,"[1, 3, 0, 4, 5, 2]",92,67,23,38,24,13,90,2,45
259,,6,37,pauli_polynomial_dynamic_ordering,"[1, 3, 0, 5, 4, 2]",104,74,22,38,21,13,90,2,45
260,,6,37,pauli_polynomial_dynamic_ordering,"[1, 4, 0, 3, 5, 2]",104,78,24,38,22,20,90,3,45
261,,6,37,pauli_polynomial_dynamic_ordering,"[1, 5, 0, 3, 4, 2]",104,78,23,41,21,15,90,4,45
262,,6,37,pauli_polynomial_dynamic_ordering,"[1, 4, 0, 5, 3, 2]",107,72,25,41,19,24,98,3,41
263,,6,37,pauli_polynomial_dynamic_ordering,"[1, 5, 0, 4, 3, 2]",105,79,25,44,21,19,98,4,41
264,,6,37,pauli_polynomial_dynamic_ordering,"[2, 1, 0, 3, 4, 5]",103,70,22,38,22,16,91,5,42
